id,title,average_rating,budget,worldwide_gross,runtime
0,The Shawshank Redemption,9.3,25000000.0,29332133.0,142
1,Attack on Titan the Movie: The Last Attack,9.3,19000000.0,3513659.0,145
2,The Godfather,9.2,6000000.0,250342198.0,175
3,Hababam Sinifi,9.2,19000000.0,6130561.0,85
4,Ramayana: The Legend of Prince Rama,9.2,19000000.0,6130561.0,135
5,The Silence of Swastika,9.1,19000000.0,6130561.0,56
6,Maya Bazaar,9.1,19000000.0,6130561.0,192
7,The Dark Knight,9.0,185000000.0,1009053678.0,152
8,Schindler's List,9.0,22000000.0,322161245.0,195
9,12 Angry Men,9.0,350000.0,2945.0,96
10,The Godfather: Part II,9.0,13000000.0,47964222.0,202
11,The Lord of the Rings: The Return of the King,9.0,94000000.0,1138263151.0,201
12,Sandesham,9.0,19000000.0,6130561.0,138
13,Oggatonama,9.0,19000000.0,6130561.0,100
14,The Lord of the Rings: The Fellowship of the Ring,8.9,93000000.0,888159923.0,178
15,Pulp Fiction,8.9,8000000.0,213928762.0,154
16,I'm Still Here,8.9,8000000.0,6600000.0,136
17,O.J.: Made in America,8.9,19000000.0,6130561.0,467
18,The Message,8.9,19000000.0,6130561.0,207
19,Tosun Pasa,8.9,19000000.0,6130561.0,90
20,Mirror Game,8.9,35000000.0,6130561.0,147
21,Hababam Sinifi: Sinifta Kaldi,8.9,19000000.0,6130561.0,95
22,Kireedam,8.9,19000000.0,181001.0,124
23,Inception,8.8,160000000.0,839030630.0,148
24,Fight Club,8.8,63000000.0,101321009.0,139
25,Forrest Gump,8.8,55000000.0,678226465.0,142
26,12th Fail,8.8,19000000.0,138288.0,147
27,"Il Buono, Il Brutto, Il Cattivo",8.8,1200000.0,25264999.0,161
28,The Lord of the Rings: The Two Towers,8.8,94000000.0,938242927.0,179
29,The Phantom of the Opera at the Royal Albert Hall,8.8,19000000.0,5247282.0,137
30,Demon Slayer: Tsuzumi Mansion Arc,8.8,19000000.0,67358.0,87
31,Les Misérables in Concert: The 25th Anniversary,8.8,19000000.0,742004.0,178
32,The Human Condition III: A Soldier's Prayer,8.8,19000000.0,6130561.0,190
33,#Home,8.8,19000000.0,6130561.0,158
34,Balkanski spijun,8.8,19000000.0,6130561.0,95
35,Maratonci trce pocasni krug,8.8,19000000.0,6130561.0,92
36,The Last Farmer,8.8,19000000.0,5800.0,122
37,Natsamrat,8.8,19000000.0,633.0,166
38,Süt Kardesler,8.8,19000000.0,6130561.0,80
39,C/O Kancharapalem,8.8,19000000.0,6130561.0,152
40,Monpura,8.8,19000000.0,6130561.0,136
41,Nadodikkattu,8.8,19000000.0,6130561.0,158
42,Aparajito,8.8,19000000.0,18068.0,138
43,Nuvvu Naaku Nachchav,8.8,19000000.0,6130561.0,184
44,Interstellar,8.7,165000000.0,732055745.0,169
45,GoodFellas,8.7,25000000.0,47054352.0,145
46,The Matrix,8.7,63000000.0,467840449.0,136
47,One Flew Over the Cuckoo's Nest,8.7,3000000.0,109115366.0,133
48,Star Wars: Episode V - The Empire Strikes Back,8.7,18000000.0,550016086.0,124
49,Jai Bhim,8.7,19000000.0,6130561.0,164
50,Kill Bill: The Whole Bloody Affair,8.7,19000000.0,6130561.0,247
51,Stop Making Sense,8.7,1200000.0,13001597.0,88
52,Sabari,8.7,19000000.0,6130561.0,129
53,Kalinga,8.7,19000000.0,3914.0,116
54,Soorarai Pottru,8.7,150000000.0,6130561.0,153
55,Shoah,8.7,19000000.0,20175.0,566
56,777 Charlie,8.7,19000000.0,7523995.0,136
57,Toma,8.7,19000000.0,3256411.0,140
58,Nayakan,8.7,10000000.0,6130561.0,156
59,Rocketry: The Nambi Effect,8.7,600000000.0,398615.0,157
60,Daman,8.7,25000000.0,6130561.0,121
61,Manichitrathazhu,8.7,19000000.0,82307.0,169
62,Peranbu,8.7,70000000.0,3417.0,147
63,Saban Oglu Saban,8.7,19000000.0,6130561.0,90
64,Ko to Tamo Peva?,8.7,19000000.0,6130561.0,86
65,Pariyerum Perumal,8.7,19000000.0,6130561.0,154
66,Thevar Magan,8.7,19000000.0,6130561.0,145
67,Kimetsu No Yaiba: Natagumo Yama Hen,8.7,19000000.0,301723.0,138
68,Devasuram,8.7,19000000.0,6130561.0,187
69,Kibar Feyzo,8.7,19000000.0,6130561.0,83
70,Zügürt Aga,8.7,19000000.0,6130561.0,101
71,Neseli Günler,8.7,19000000.0,6130561.0,95
72,Hababam Sinifi: Uyaniyor,8.7,19000000.0,6130561.0,94
73,Oru Vadakkan Veeragatha,8.7,9800000.0,6130561.0,168
74,Se7en,8.6,33000000.0,327333559.0,127
75,The Silence of the Lambs,8.6,19000000.0,272742922.0,118
76,It's a Wonderful Life,8.6,3180000.0,9767242.0,130
77,Spider-man: Across the Spider-verse,8.6,150000000.0,690824738.0,140
78,Saving Private Ryan,8.6,70000000.0,482351251.0,169
79,The Green Mile,8.6,60000000.0,286801374.0,189
80,City of God,8.6,3300000.0,30680793.0,130
81,Terminator 2: Judgment Day,8.6,102000000.0,517778573.0,137
82,Star Wars: Episode IV - A New Hope,8.6,11000000.0,775398507.0,121
83,Spirited Away,8.6,19000000.0,358110581.0,124
84,Life Is Beautiful,8.6,20000000.0,230099013.0,116
85,Shichinin No Samurai,8.6,125000000.0,1063061.0,207
86,Seppuku,8.6,19000000.0,15222.0,133
87,The Kashmir Files,8.6,200000000.0,24821898.0,170
88,Earthlings,8.6,19000000.0,6130561.0,95
89,A Dog's Will,8.6,19000000.0,6281890.0,104
90,Kaiva,8.6,19000000.0,6130561.0,138
91,The Legend of Maula Jatt,8.6,700000000.0,13941539.0,153
92,Pretty village pretty flame,8.6,19000000.0,211.0,115
93,Anbe Sivam,8.6,19000000.0,6130561.0,160
94,Lajanje na zvezde,8.6,19000000.0,6130561.0,95
95,Pink Floyd: Live at Pompeii,8.6,19000000.0,6130561.0,92
96,Thoovanathumbikal,8.6,19000000.0,6130561.0,151
97,Spadikam,8.6,19000000.0,62313.0,150
98,Human,8.6,19000000.0,80410.0,263
99,Canim Kardesim,8.6,19000000.0,6130561.0,86
100,A tanú,8.6,19000000.0,6130561.0,105
101,Hababam Sinifi: Tatilde,8.6,19000000.0,6130561.0,97
102,Chithram,8.6,19000000.0,6130561.0,159
103,Poove Unakkaga,8.6,19000000.0,6130561.0,150
104,Gladiator,8.5,103000000.0,465516248.0,155
105,Dune: Part Two,8.5,190000000.0,714444358.0,166
106,Alien,8.5,11000000.0,108610218.0,117
107,Amaran,8.5,19000000.0,1717804.0,167
108,Django Unchained,8.5,100000000.0,426076293.0,165
109,Parasite,8.5,11400000.0,262129969.0,132
110,Whiplash,8.5,3300000.0,50360880.0,106
