cast_id,cast_name
0,Tim Robbins
1,Morgan Freeman
2,Bob Gunton
3,William Sadler
4,Clancy Brown
5,Gil Bellows
6,Mark Rolston
7,James Whitmore
8,Jeffrey DeMunn
9,Larry Brandenburg
10,Neil Giuntoli
11,Brian Libby
12,David Proval
13,Joseph Ragno
14,Jude Ciccolella
15,Paul McCrane
16,Renee Blaine
17,Scott Mann
18,Natsuki Hanae
19,Yoshimasa Hosoya
20,Marina Inoue
21,Yui Ishikawa
22,Yûki Kaji
23,Hiroshi Kamiya
24,Takehito Koyasu
25,Shiori Mikami
26,Manami Numakura
27,Romi Park
28,Ayane Sakura
29,Yû Shimamura
30,Hiro Shimono
31,Kishô Taniyama
32,Marlon Brando
33,Al Pacino
34,James Caan
35,Diane Keaton
36,Richard S. Castellano
37,Robert Duvall
38,Sterling Hayden
39,John Marley
40,Richard Conte
41,Al Lettieri
42,Abe Vigoda
43,Talia Shire
44,Gianni Russo
45,John Cazale
46,Rudy Bond
47,Al Martino
48,Morgana King
49,Lenny Montana
50,Münir Özkul
51,Tarik Akan
52,Halit Akçatepe
53,Kemal Sunal
54,Adile Nasit
55,Sitki Akçatepe
56,Selim Nasit Özcan
57,Muharrem Gürses
58,Ahmet Ariman
59,Ertugrul Bilda
60,Talat Dumanli
61,Ekrem Dümer
62,Kemal Ergüvenç
63,Ercan Gezmis
64,Aysen Gruda
65,Dilaver Gür
66,Cem Gürdap
67,Bülent Haksever
68,Arun Govil
69,Nikhil Kapoor
70,Edie Mirman
71,Rael Padamsee
72,Namrata Sawhney
73,Uday Mathan
74,Shatrughan Sinha
75,Jinder Walia
76,Amrish Puri
77,Mishal Varma
78,Noel Godin
79,Shakti Singh
80,Dilip Sinha
81,Madhulika Varma
82,Mari Devon
83,Pearl Padamsee
84,Barbara Goodson
85,Shagufta Jaffrey
86,Suzanne Bernert
87,N.T. Rama Rao
88,S.V. Ranga Rao
89,Savitri
90,Akkineni Nageswara Rao
91,Rushyendramani
92,Seeta Rama Anjaneyulu Chilakalapudi
93,M.N. Nambiar
94,K.A. Thangavelu
95,Relangi Venkatramaiah
96,Balasubramaniam D.
97,Gummadi
98,Sandhya
99,Chhayadevi
100,Suryakantham
101,Nagabhushanam
102,Ramana Reddy
103,Mukkamala
104,Mikkilineni
105,Christian Bale
106,Heath Ledger
107,Aaron Eckhart
108,Michael Caine
109,Maggie Gyllenhaal
110,Gary Oldman
111,Monique Gabriela Curnen
112,Ron Dean
113,Cillian Murphy
114,Chin Han
115,Nestor Carbonell
116,Eric Roberts
117,Ritchie Coster
118,Anthony Michael Hall
119,Keith Szarabajka
120,Colin McFarlane
121,Joshua Harto
122,Liam Neeson
123,Ralph Fiennes
124,Ben Kingsley
125,Caroline Goodall
126,Jonathan Sagall
127,Embeth Davidtz
128,Malgorzata Gebel
129,Shmuel Levy
130,Mark Ivanir
131,Béatrice Macola
132,Andrzej Seweryn
133,Friedrich von Thun
134,Krzysztof Luft
135,Harry Nehring
136,Norbert Weisser
137,Adi Nitzan
138,Michael Schneider
139,Miri Fabian
140,Henry Fonda
141,Lee J. Cobb
142,Martin Balsam
143,John Fiedler
144,E.G. Marshall
145,Jack Klugman
146,Edward Binns
147,Jack Warden
148,Joseph Sweeney
149,Ed Begley
150,George Voskovec
151,Robert Webber
152,Tom Gorman
153,James Kelly
154,Billy Nelson
155,John Savoca
156,Walter Stocker
157,Robert De Niro
158,Lee Strasberg
159,Michael V. Gazzo
160,G.D. Spradlin
161,Richard Bright
162,Gastone Moschin
163,Tom Rosqui
164,Bruno Kirby
165,Frank Sivero
166,Francesca De Sapio
167,Marianna Hill
168,Leopoldo Trieste
169,Elijah Wood
170,Viggo Mortensen
171,Ian McKellen
172,Orlando Bloom
173,Noel Appleby
174,Ali Astin
175,Sean Astin
176,David Aston
177,John Bach
178,Sean Bean
179,Cate Blanchett
180,Billy Boyd
181,Sadwyn Brophy
182,Alistair Browning
183,Marton Csokas
184,Richard Edge
185,Jason Fitch
186,Bernard Hill
187,Sreenivasan
188,Jayaram
189,Thilakan
190,Maathu
191,Kaviyoor Ponnamma
192,Rahul Lakshman
193,Siddique
194,Oduvil Unnikrishnan
195,Mala Aravindan
196,K.P.A.C. Lalitha
197,Mammukoya
198,Sankaradi
199,Innocent Vareed Thekkethala
200,Bobby Kottarakkara
201,T.P. Madhavan
202,T.R. Omana
203,Byon
204,Kalabhavan Haneef
205,Shahiduzzaman Selim
206,Ashraful Tushar
207,Mosharraf Karim
208,Nipun
209,Fazlur Rahman Babu
210,Abul Hayat
211,Shatabdi Wadud
212,Shahed Sharif Khan
213,Shahed Ali
214,Ziaul Hasan Kislu
215,Rounok Shahriar Aayat
216,Apon
217,Iqbal Babu
218,Nazmul Huda Bachchu
219,Ranojit Chakraborty
220,Momena Chowdhury
221,Shafiq Khan Dilu
222,Pronob Ghosh
223,Alan Howard
224,Sala Baker
225,Andy Serkis
226,Megan Edwards
227,Michael Elsworth
228,Mark Ferguson
229,Ian Holm
230,Christopher Lee
231,John Travolta
232,Uma Thurman
233,Samuel L. Jackson
234,Bruce Willis
235,Tim Roth
236,Amanda Plummer
237,Laura Lovelace
238,Phil LaMarr
239,Frank Whaley
240,Burr Steers
241,Ving Rhames
242,Paul Calderon
243,Bronagh Gallagher
244,Rosanna Arquette
245,Eric Stoltz
246,Jerome Patrick Hoban
247,Michael Gilden
248,Gary Shorelle
249,Fernanda Torres
250,Fernanda Montenegro
251,Selton Mello
252,Valentina Herszage
253,Maria Manoella
254,Bárbara Luz
255,Gabriela Carneiro da Cunha
256,Luiza Kosovski
257,Marjorie Estiano
258,Guilherme Silveira
259,Antonio Saboia
260,Cora Mora
261,Olívia Torres
262,Pri Helena
263,Humberto Carrão
264,Charles Fricks
265,Maeve Jinkings
266,Luana Nastas
267,Willie Brown
268,Harry Edwards
269,John McKay
270,Harry Alfred Khasigian
271,Steve Lehmer
272,Jeffrey Toobin
273,Danny Bakewell
274,Walter Mosley
275,Dwight Tucker
276,David Gascon
277,Bernard Parks
278,Jim Newton
279,Carl Douglas
280,Mark Ridley Thomas
281,Joe Saltzman
282,Joe Bell
283,Jim Brown
284,Robert Lipsyte
285,Abdallah Gheith
286,Mona Wassef
287,Hamdy Gheith
288,Ali Ahmed Salem
289,Mahmoud Saeed
290,Ahmed Marei
291,Mohamed El Arabi
292,Ronald Chenery
293,Michael Godfrey
294,Mohammed Tawfik
