country_id,country
0,United States
1,Japan
2,Turkey
3,India
4,United Kingdom
5,New Zealand
6,Bangladesh
7,Brazil
8,France
9,Libya
10,Germany
11,Italy
12,Spain
13,West Germany
14,Yugoslavia
15,Canada
16,Australia
17,Serbia
18,Pakistan
19,Federal Republic of Yugoslavia
20,Belgium
21,Hungary
22,Malta
23,Morocco
24,United Arab Emirates
25,Jordan
26,Gambia
27,South Korea
28,Hong Kong
29,Poland
30,Ukraine
31,Iran
32,Syria
33,Philippines
34,Norway
35,Mexico
36,Lebanon
37,Cyprus
38,Qatar
39,Indonesia
40,Singapore
41,Thailand
42,Kenya
43,Denmark
44,Saudi Arabia
45,South Africa
46,Ghana
47,Egypt
48,China
49,Chile
50,Romania
51,Iceland
52,Serbia and Montenegro
53,Soviet Union
54,Sweden
55,Czech Republic
56,Finland
57,Israel
58,Netherlands
59,Sri Lanka
60,Austria
61,Argentina
62,Switzerland
63,Taiwan
64,Cuba
65,Czechoslovakia
