language_id,language
0,English
1,Japanese
2,Italian
3,Latin
4,Turkish
5,Hindi
6,Telugu
7,Tamil
8,Mandarin
9,Hebrew
10,German
11,Polish
12,Spanish
13,Sicilian
14,Quenya
15,Old English
16,Sindarin
17,Malayalam
18,Bengali
19,French
20,Portuguese
21,Arabic
22,Russian
23,Serbo-Croatian
24,Serbian
25,Marathi
26,Yiddish
27,Cantonese
28,Greek
29,Kannada
30,Romany
31,Oriya
32,Czech
33,Punjabi
34,Urdu
35,Bosnian
36,Chinese
37,Sign Languages
38,Hungarian
39,Korean
40,Swahili
41,Xhosa
42,Zulu
43,None
44,Ukrainian
45,Norwegian
46,Persian
47,Uzbek
48,Sinhala
49,Vietnamese
50,Nepali
51,Amharic
52,Esperanto
53,Romanian
54,Icelandic
55,Danish
56,Gaelic
57,Belarusian
58,Kikuyu
59,Tagalog
60,Kalmyk-Oirat
61,Quechua
62,Thai
63,Swedish
64,Indonesian
65,Armenian
66,Saami
67,American Sign Language
68,Hopi
69,Min Nan
70,Shanghainese
71,Azerbaijani
72,Afrikaans
73,Slovak
74,Bulgarian
75,Lithuanian
76,Georgian
