id,language_id
0,0
1,1
2,0
2,2
2,3
3,4
4,0
5,5
5,0
6,6
6,7
7,0
7,8
8,0
8,9
8,10
8,11
8,3
9,0
10,0
10,2
10,12
10,3
10,13
11,0
11,14
11,15
11,16
12,17
13,18
14,0
14,16
15,0
15,12
15,19
16,20
17,0
18,21
19,4
20,18
21,4
22,17
23,0
23,1
23,19
24,0
25,0
26,5
27,2
27,0
28,0
28,16
28,15
29,0
30,1
31,0
32,1
32,8
32,22
33,17
34,23
35,24
36,7
37,25
38,4
39,6
40,18
41,17
42,18
43,6
44,0
45,0
45,2
45,9
45,26
46,0
47,0
48,0
49,7
50,0
50,1
50,8
50,19
50,27
50,12
51,0
51,19
52,6
53,6
54,7
55,10
55,9
55,11
55,26
55,19
55,0
55,28
55,2
56,29
57,24
57,10
57,30
58,7
59,5
59,7
59,0
59,19
60,31
60,5
61,17
62,7
63,4
64,23
65,7
66,7
67,1
68,17
69,4
70,4
71,4
72,4
73,17
74,0
75,0
75,3
76,0
76,19
77,0
78,0
78,19
78,10
78,32
79,0
79,19
80,20
81,0
81,12
82,0
83,1
84,2
84,10
84,0
85,1
86,1
87,5
88,0
89,20
89,3
90,29
91,33
91,34
91,0
92,35
92,24
92,0
93,7
94,24
95,0
96,17
97,17
98,0
98,19
98,21
98,12
98,20
98,2
98,36
98,22
98,28
98,9
98,37
99,4
100,38
101,4
102,17
103,7
104,0
105,0
106,0
107,7
108,0
108,10
108,19
108,2
109,39
109,0
110,0
111,0
111,27
112,0
112,2
112,19
113,0
114,0
115,0
116,0
116,40
116,41
116,42
117,0
118,0
118,38
118,12
118,19
119,0
119,10
119,22
120,19
120,0
121,7
122,1
123,0
123,19
123,10
123,2
123,22
124,2
124,0
124,12
125,2
126,0
127,0
128,0
129,43
129,0
130,0
130,20
130,19
130,1
131,22
131,44
131,0
133,6
134,1
135,7
136,2
136,0
136,45
137,38
138,46
139,19
140,1
140,8
141,17
142,21
142,0
143,6
144,7
146,7
147,7
148,46
149,5
150,32
150,23
151,19
151,0
151,22
151,12
151,10
151,47
152,4
153,7
154,4
155,4
156,5
156,25
156,0
157,0
157,19
158,0
159,7
159,48
160,39
160,0
161,0
161,10
161,19
161,2
162,0
162,10
163,0
163,21
164,0
164,1
164,41
164,10
165,0
166,0
166,12
167,0
167,19
167,49
168,0
169,0
169,10
169,12
169,50
169,9
169,21
170,0
171,7
172,0
172,12
173,0
173,12
174,10
175,0
176,0
176,2
176,3
176,10
176,19
177,1
178,0
179,21
179,51
180,10
181,5
182,5
182,0
183,0
183,10
183,3
184,0
184,10
185,0
185,52
185,3
186,1
188,19
188,0
188,20
189,0
189,1
190,7
191,45
192,7
193,1
194,7
195,17
196,46
197,1
198,24
199,53
200,5
200,0
201,7
202,18
203,0
203,54
204,6
204,7
205,24
206,7
207,0
208,4
209,25
210,7
211,22
212,7
213,4
214,53
214,2
214,4
215,7
216,7
217,7
218,4
219,29
220,7
221,7
222,4
223,0
224,0
224,10
224,2
225,0
226,0
227,0
228,0
229,0
229,12
230,45
230,0
230,55
231,39
232,0
232,19
232,3
232,56
232,2
233,0
233,12
234,55
234,0
234,11
235,0
235,22
235,19
236,0
236,2
236,19
236,26
236,9
237,0
238,0
239,19
239,21
239,0
240,0
240,19
241,57
241,22
241,10
242,0
242,22
243,19
243,22
243,0
244,0
244,21
244,4
245,0
246,0
246,58
246,59
246,60
246,61
246,11
247,1
248,0
249,0
249,19
250,0
250,12
251,10
251,0
252,0
252,2
253,0
254,0
255,0
256,0
257,0
258,46
259,5
259,0
260,10
261,1
261,3
261,0
261,19
262,0
262,10
263,5
263,0
264,22
264,10
264,19
265,2
265,10
266,5
267,7
268,5
270,5
271,1
272,62
272,0
273,7
274,5
275,7
276,8
277,1
278,17
279,19
280,63
281,0
282,22
283,64
284,17
285,17
286,17
287,1
288,0
288,9
289,22
290,17
291,5
292,4
293,18
294,22
295,44
295,22
295,0
296,17
297,18
297,0
298,24
299,1
300,7
301,38
302,6
303,25
304,22
305,7
306,7
307,5
308,34
308,0
309,5
310,7
311,7
312,5
313,5
314,5
315,29
316,24
317,5
318,4
319,0
320,17
321,38
322,7
323,7
324,17
325,7
326,48
326,7
327,0
328,0
328,22
328,65
329,0
329,19
330,0
331,0
331,12
332,0
332,10
332,2
332,1
333,0
334,0
334,12
335,0
335,8
336,0
337,0
337,10
338,0
338,12
339,0
340,0
340,45
341,0
341,19
341,10
342,0
343,17
343,5
343,7
343,6
343,29
344,0
344,3
344,12
345,0
345,2
345,22
345,10
346,0
346,22
347,0
347,66
348,0
349,0
349,67
350,0
350,49
351,0
352,0
353,0
353,1
353,19
354,12
355,1
356,5
356,25
357,0
358,0
358,1
358,22
359,0
359,10
359,28
359,3
359,2
360,10
360,22
360,19
360,0
361,0
362,12
363,0
364,0
364,19
364,3
364,63
365,0
366,0
366,10
366,19
366,22
366,12
367,0
367,19
368,1
369,2
369,0
370,0
370,19
371,0
372,1
373,1
374,6
375,64
375,0
376,17
376,7
377,0
378,0
380,46
381,0
381,12
382,1
384,4
385,29
386,5
386,0
387,43
387,68
387,0
388,19
388,10
389,38
390,5
392,43
392,0
393,0
394,8
394,69
394,70
394,0
395,46
395,71
396,0
397,2
398,5
399,29
400,29
401,5
402,4
402,39
402,0
402,36
403,0
403,12
403,72
404,0
404,21
404,2
405,5
406,4
407,5
408,18
409,0
410,6
410,7
411,22
411,36
412,7
413,43
413,0
414,39
415,5
415,0
416,0
417,6
418,2
419,22
419,10
420,46
421,4
422,2
422,0
422,19
422,20
422,36
423,12
423,0
424,1
425,2
425,3
425,10
425,0
425,21
426,7
427,12
428,7
429,1
430,55
432,0
434,0
434,22
435,0
436,0
437,0
438,29
439,0
439,39
439,55
439,12
440,0
441,0
442,0
443,7
444,7
444,6
444,29
444,17
445,7
446,22
447,5
448,22
449,4
450,8
450,1
450,0
450,19
451,39
452,73
452,26
452,10
452,3
453,5
454,0
454,19
454,49
455,4
455,0
455,74
456,0
457,5
458,7
459,6
460,11
460,0
461,7
462,0
463,29
464,6
465,7
466,0
467,22
467,10
468,0
468,12
469,7
470,5
471,6
472,6
473,17
474,0
475,22
475,75
475,10
475,76
475,19
476,22
476,44
477,7
478,0
478,39
479,0
480,6
481,0
482,5
483,6
484,0
484,21
485,0
486,7
487,7
488,29
489,18
490,34
491,0
492,0
493,0
494,0
495,0
495,3
496,0
496,12
497,0
497,22
498,0
498,3
499,0
499,10
499,27
499,1
499,38
499,21
499,39
145,5
379,10
379,0
383,43
383,63
433,4
433,28
433,0
