id,writer_id
0,0
0,1
1,2
1,3
1,4
2,5
2,6
3,7
3,8
4,9
4,10
4,11
5,12
6,13
6,14
7,15
7,16
7,17
8,18
8,19
9,20
10,6
10,5
11,21
11,22
11,23
12,24
13,25
14,21
14,22
14,23
15,26
15,27
16,28
16,29
16,30
17,31
17,32
17,33
18,34
18,35
18,36
19,37
20,38
20,39
20,40
21,41
21,8
22,42
23,16
24,43
24,44
25,45
25,46
26,47
26,48
26,49
27,50
27,51
27,52
28,21
28,22
28,23
29,53
29,54
29,55
30,56
31,57
31,58
31,59
32,60
32,61
32,62
33,63
34,64
35,64
36,65
37,66
37,67
37,68
38,69
38,41
39,70
40,71
40,72
41,24
41,73
41,74
42,75
42,76
42,77
43,78
43,79
44,15
44,16
45,80
45,81
46,82
46,83
47,84
47,85
47,86
48,87
48,88
48,89
49,90
49,91
50,26
50,92
51,93
51,94
52,95
52,96
53,97
53,98
54,99
54,100
54,101
55,102
55,103
55,104
56,105
56,106
56,107
57,108
57,109
57,110
58,111
58,112
58,113
59,114
59,115
59,116
60,117
60,118
61,119
62,120
63,41
64,64
65,121
66,122
67,56
68,123
69,124
69,125
70,37
71,41
72,41
72,8
73,126
74,127
75,128
75,129
76,130
76,131
76,132
77,133
77,134
77,135
78,136
79,0
79,1
80,137
80,138
81,139
81,140
82,89
83,141
84,142
84,143
85,144
85,145
85,146
86,147
86,145
87,148
87,149
88,150
89,151
89,152
89,153
90,154
90,155
91,156
91,157
92,158
92,159
92,160
93,122
93,161
93,162
94,163
94,164
95,165
95,166
95,167
96,168
97,169
97,170
98,171
98,172
98,173
99,41
100,174
100,175
101,41
101,8
102,176
102,24
103,177
104,178
104,179
104,180
105,181
105,182
105,183
106,184
106,185
107,186
108,26
109,187
109,188
110,189
111,190
111,191
111,192
112,193
113,15
113,16
113,194
114,195
114,196
115,197
115,198
116,199
116,200
116,201
117,202
118,203
119,204
119,205
120,206
120,207
120,208
121,209
122,210
122,211
123,212
123,213
123,214
124,215
124,51
124,216
125,217
125,218
126,219
126,220
127,221
128,222
129,221
129,223
129,224
130,225
131,226
132,227
132,228
132,229
133,230
133,231
133,232
134,233
134,234
135,235
135,236
135,237
136,238
136,239
137,240
137,241
138,242
138,243
139,244
139,245
139,246
140,60
140,62
140,247
141,248
142,249
142,250
142,251
143,252
144,253
144,254
146,122
146,255
146,256
147,257
148,258
149,259
149,260
149,261
150,262
150,263
151,264
151,265
151,266
152,267
152,268
153,113
153,269
154,7
155,270
155,271
156,272
156,273
156,274
157,275
157,166
158,276
158,277
158,278
159,279
159,280
159,281
160,282
161,26
162,283
162,284
162,285
163,15
163,16
163,17
164,286
164,287
164,288
165,0
165,289
165,290
166,139
166,291
166,292
167,293
167,6
167,294
168,16
168,15
169,88
169,89
169,295
170,286
170,287
170,288
171,236
172,296
172,297
172,298
173,133
173,299
174,300
175,301
175,302
175,303
176,304
176,305
177,306
178,307
178,308
178,309
179,310
179,311
179,312
180,313
180,314
181,315
181,316
181,317
182,318
182,319
182,47
183,289
183,320
183,321
184,322
184,308
184,323
185,221
186,146
186,324
186,325
187,227
187,228
188,326
188,327
188,328
189,329
190,330
190,331
190,332
191,333
191,334
191,335
192,336
192,337
193,338
193,339
193,340
194,341
194,337
194,342
195,343
196,344
197,345
197,346
197,347
198,348
199,349
200,350
200,351
200,352
201,353
201,354
201,355
202,356
202,357
203,358
203,359
203,360
204,361
204,362
204,363
205,64
206,364
206,337
207,365
207,366
207,367
208,37
209,368
210,369
210,370
211,371
211,372
211,373
212,374
212,122
213,41
214,375
215,376
215,343
215,342
216,111
216,377
217,378
218,7
219,379
220,113
220,380
221,381
221,113
221,370
222,41
223,382
223,383
224,16
224,384
224,385
225,386
225,387
226,388
226,389
226,390
227,391
227,392
228,393
229,394
230,395
230,396
230,397
231,398
231,399
231,400
232,401
233,402
233,403
233,404
234,405
234,406
235,289
235,407
236,408
236,409
236,410
237,26
237,27
238,411
238,302
238,301
239,412
239,181
239,413
240,414
240,415
241,416
241,417
242,289
242,418
242,419
243,420
243,421
244,422
244,423
245,302
245,424
245,425
246,88
246,89
247,141
248,308
248,426
248,427
249,428
249,429
250,411
250,301
250,296
251,430
251,431
252,432
252,433
252,434
253,435
253,436
253,437
254,438
254,439
255,308
255,440
256,441
256,442
257,443
258,444
259,445
259,446
259,447
260,430
260,431
260,448
