writer_id,writer
0,Stephen King
1,Frank Darabont
2,Natsuki Hanae
3,Yoshimasa Hosoya
4,Marina Inoue
5,Mario Puzo
6,Francis Ford Coppola
7,Umur Bugay
8,Rifat Ilgaz
9,Rani Burra
10,Ram Mohan
11,Yûgô Sakô
12,Suzanne Bernert
13,Pingali Nagendra Rao
14,Kadiri Venkata Reddy
15,Jonathan Nolan
16,Christopher Nolan
17,David S. Goyer
18,Thomas Keneally
19,Steven Zaillian
20,Reginald Rose
21,J.R.R. Tolkien
22,Fran Walsh
23,Philippa Boyens
24,Sreenivasan
25,Tauquir Ahmed
26,Quentin Tarantino
27,Roger Avary
28,Murilo Hauser
29,Heitor Lorega
30,Marcelo Rubens Paiva
31,Willie Brown
32,Harry Edwards
33,John McKay
34,H.A.L. Craig
35,Tewfik El-Hakim
36,A.B. Rahman El-Sharkawi
37,Yavuz Turgul
38,Syed Gaosul Alam Shaon
39,Anam Biswas
40,Adnan Adib Khan
41,Sadik Sendil
42,A.K. Lohithadas
43,Chuck Palahniuk
44,Jim Uhls
45,Winston Groom
46,Eric Roth
47,Vidhu Vinod Chopra
48,Jaskunwar Kohli
49,Anurag Pathak
50,Luciano Vincenzoni
51,Sergio Leone
52,Agenore Incrocci
53,Richard Stilgoe
54,Andrew Lloyd Webber
55,Gaston Leroux
56,Koyoharu Gotouge
57,Alain Boublil
58,Claude-Michel Schönberg
59,Victor Hugo
60,Zenzô Matsuyama
61,Kôichi Inagaki
62,Masaki Kobayashi
63,Rojin Thomas
64,Dusan Kovacevic
65,M. Manikandan
66,Abhijeet Shirish Deshpande
67,Mahesh Manjrekar
68,Guru Thakur
69,Hüseyin Rahmi Gürpinar
70,Venkatesh Maha
71,Arif Hossain
72,Giasuddin Selim
73,Lal
74,Siddique
75,Anik Datta
76,Sreeparna Mitra
77,Utsav Mukherjee
78,Trivikram Srinivas
79,Vijay K. Bhaskar
80,Nicholas Pileggi
81,Martin Scorsese
82,Lilly Wachowski
83,Lana Wachowski
84,Lawrence Hauben
85,Bo Goldman
86,Ken Kesey
87,Leigh Brackett
88,Lawrence Kasdan
89,George Lucas
90,T.J. Gnanavel
91,Rajendra Sapre
92,Uma Thurman
93,Jonathan Demme
94,Talking Heads
95,Anilkatz
96,Sanni Nagababu
97,Rama Rao Jadhav
98,Dhruva Vaayu
99,Sudha Kongara
100,Shalini Ushadevi
101,Vijay Kumar
102,Simon Srebnik
103,Michael Podchlebnik
104,Motke Zaïdl
105,Kiranraj K
106,K.N. Vijay Kumar
107,Satheesh Muthukulam
108,Zoran Lisinac
109,Dragan Bjelogrlic
110,Nikola Pejakovic
111,Balakumaran
112,Rajasri
113,Mani Ratnam
114,Madhavan
115,Ananth Mahadevan
116,Rahul Pandey
117,Lenka Debiprasad
118,Vishal Mourya
119,Madhu Muttam
120,Ram
121,Mari Selvaraj
122,Kamal Haasan
123,Ranjith
124,Osman Sahin
125,Ihsan Yüce
126,M.T. Vasudevan Nair
127,Andrew Kevin Walker
128,Thomas Harris
129,Ted Tally
130,Frances Goodrich
131,Albert Hackett
132,Frank Capra
133,Phil Lord
134,Christopher Miller
135,Dave Callaham
136,Robert Rodat
137,Bráulio Mantovani
138,Paulo Lins
139,James Cameron
140,William Wisher
141,Hayao Miyazaki
142,Vincenzo Cerami
143,Roberto Benigni
144,Akira Kurosawa
145,Shinobu Hashimoto
146,Hideo Oguni
147,Yasuhiko Takiguchi
148,Vivek Agnihotri
149,Saurabh M. Pandey
150,Shaun Monson
151,Guel Arraes
152,Adriana Falcão
153,João Falcão
154,Jayathirtha
155,Raghu Niduvalli
156,Bilal Lashari
157,Nasir Adib
158,Vanja Bulic
159,Srdjan Dragojevic
160,Biljana Maksic
161,Madan
162,Mohan Nair
163,Zdravko Sotra
164,Milovan Vitezovic
165,David Gilmour
166,Roger Waters
167,Richard Wright
168,P. Padmarajan
169,Raajendra Babu
170,Bhadran
171,Luis Cancu
172,Atman
173,Berthony
174,Péter Bacsó
175,János Ujhelyi
176,Priyadarshan
177,Vikraman
178,David Franzoni
179,John Logan
180,William Nicholson
181,Denis Villeneuve
182,Jon Spaihts
183,Frank Herbert
184,Dan O'Bannon
185,Ronald Shusett
186,Rajkumar Periasamy
187,Bong Joon Ho
188,Han Jin-won
189,Damien Chazelle
190,William Monahan
191,Alan Mak
192,Felix Chong
193,Luc Besson
194,Christopher Priest
195,Robert Zemeckis
196,Bob Gale
197,Joseph Stefano
198,Robert Bloch
199,Irene Mecchi
200,Jonathan Roberts
201,Linda Woolverton
202,David McKenna
203,Christopher McQuarrie
204,Ronald Harwood
205,Wladyslaw Szpilman
206,Olivier Nakache
207,Éric Toledano
208,Philippe Pozzo di Borgo
209,Nithilan Saminathan
210,Akiyuki Nosaka
211,Isao Takahata
212,Julius J. Epstein
213,Howard Koch
214,Murray Burnett
215,Sergio Donati
216,Dario Argento
217,Giuseppe Tornatore
218,Vanna Paoli
219,John Michael Hayes
220,Cornell Woolrich
221,Charles Chaplin
222,Kurt Kuenne
223,Harry Carr
224,Harry Crocker
225,Manish Pandey
226,Mstyslav Chernov
227,Ron Fricke
228,Mark Magidson
229,Genevieve Nicholas
230,Hanu Raghavapudi
231,Jay Krishna
232,Raj Kumar Kandamudi
233,Kôbô Abe
234,Eiko Yoshida
235,Charu Gupta
236,C. Prem Kumar
237,Sorif B. Mahmud
238,Sandro Petraglia
239,Stefano Rulli
240,Zoltán Fábri
241,Ferenc Sánta
242,Hasan Fathi
243,Farhad Tohidi
244,José Giovanni
245,Jacques Becker
246,Jean Aurel
247,Jumpei Gomikawa
248,Syam Pushkaran
249,Waad Al-Kateab
250,Sama Al-Khateab
251,Hamza Al-Khateab
252,Gowtam Tinnanuri
253,Tamizh Prabha
254,Pa. Ranjith
255,Kader Kashmiri
256,Crazy Mohan
257,Thiagarajan Kumararaja
258,Ali Hatami
259,Sailesh Dey
260,Sachin Bhowmick
